FTP 04/29/2006 08:38:52 69.203.203.58               /pub/erique/www/contests.html 1137
FTP 04/29/2006 08:41:17 69.203.203.58               /pub/erique/www/gifs/sam.jpg 8222
FTP 04/29/2006 08:41:23 69.203.203.58               /pub/erique/www/gifs/toaster.jpg 3510
FTP 04/29/2006 08:41:31 69.203.203.58               /pub/erique/www/haiku/1996/haiku396.html 17896
FTP 04/29/2006 08:41:38 69.203.203.58               /pub/erique/www/haiku/1996/haiku896.html 20278
FTP 04/29/2006 08:41:47 69.203.203.58               /pub/erique/www/haiku/1997/haik1297.html 22956
FTP 04/29/2006 08:41:54 69.203.203.58               /pub/erique/www/haiku/1997/haiku497.html 29895
FTP 04/29/2006 08:42:03 69.203.203.58               /pub/erique/www/haiku/1998/haik1098.html 36006
FTP 04/29/2006 08:42:11 69.203.203.58               /pub/erique/www/haiku/1998/haiku298.html 35588
FTP 04/29/2006 08:42:19 69.203.203.58               /pub/erique/www/haiku/1998/haiku798.html 74969
FTP 04/29/2006 08:42:26 69.203.203.58               /pub/erique/www/haiku/haik1995/haikuaug.html 6373
FTP 04/29/2006 08:42:32 69.203.203.58               /pub/erique/www/haiku/haik1995/haikuoct.html 10090
FTP 04/29/2006 08:42:40 69.203.203.58               /pub/erique/www/haiku/haiku299.html 68017
FTP 04/29/2006 08:42:48 69.203.203.58               /pub/erique/www/haiku/moral.html 4692
FTP 04/29/2006 08:42:55 69.203.203.58               /pub/erique/www/limerick/1995/nautdec.html 30430
FTP 04/29/2006 08:43:01 69.203.203.58               /pub/erique/www/limerick/1995/nautoct.html 12561
FTP 04/29/2006 08:43:08 69.203.203.58               /pub/erique/www/limerick/1995/nicejune.html 1710
FTP 04/29/2006 08:43:14 69.203.203.58               /pub/erique/www/limerick/1996/bestnaut.html 19352
FTP 04/29/2006 08:43:22 69.203.203.58               /pub/erique/www/limerick/1996/nau196.html 38217
FTP 04/29/2006 08:43:30 69.203.203.58               /pub/erique/www/limerick/1996/naut596.html 28755
FTP 04/29/2006 08:43:37 69.203.203.58               /pub/erique/www/limerick/1996/nic1096.html 9770
FTP 04/29/2006 08:43:44 69.203.203.58               /pub/erique/www/limerick/1996/nice396.html 5682
FTP 04/29/2006 08:43:52 69.203.203.58               /pub/erique/www/limerick/1996/nice896.html 9880
FTP 04/29/2006 08:44:00 69.203.203.58               /pub/erique/www/limerick/1997/naut1297.html 36990
FTP 04/29/2006 08:44:08 69.203.203.58               /pub/erique/www/limerick/1997/naut597.html 22468
FTP 04/29/2006 08:44:16 69.203.203.58               /pub/erique/www/limerick/1997/nice1197.html 19541
FTP 04/29/2006 08:44:24 69.203.203.58               /pub/erique/www/limerick/1997/nice497.html 30916
FTP 04/29/2006 08:44:31 69.203.203.58               /pub/erique/www/limerick/1998/lim1998.html 2041
FTP 04/29/2006 08:44:40 69.203.203.58               /pub/erique/www/limerick/1998/naut298.html 48518
FTP 04/29/2006 08:44:49 69.203.203.58               /pub/erique/www/limerick/1998/naut798.html 47582
FTP 04/29/2006 08:44:57 69.203.203.58               /pub/erique/www/limerick/1998/nice198.html 25254
FTP 04/29/2006 08:45:05 69.203.203.58               /pub/erique/www/limerick/1998/nice698.html 24183
FTP 04/29/2006 08:45:12 69.203.203.58               /pub/erique/www/limerick/brady/Brady96_(1).html 6482
FTP 04/29/2006 08:45:19 69.203.203.58               /pub/erique/www/limerick/brady/bradyfrm.html 546
FTP 04/29/2006 08:45:25 69.203.203.58               /pub/erique/www/limerick/docs/instruct.html 1218
FTP 04/29/2006 08:45:33 69.203.203.58               /pub/erique/www/limerick/naut399.html 38217
FTP 04/29/2006 08:45:41 69.203.203.58               /pub/erique/www/limerick/nice299.html 28130
FTP 04/29/2006 08:45:48 69.203.203.58               /pub/erique/www/links.html 4558
FTP 04/29/2006 08:45:54 69.203.203.58               /pub/erique/www/midi/midi.html 3196
FTP 04/29/2006 08:46:00 69.203.203.58               /pub/erique/www/prideforallages.html 1082
FTP 04/29/2006 08:46:07 69.203.203.58               /pub/erique/www/rapture/hagss.html 594
FTP 04/29/2006 08:46:14 69.203.203.58               /pub/erique/www/rapture/hogwartssorcerer.txt 12877
FTP 04/29/2006 08:46:20 69.203.203.58               /pub/erique/www/rapture/rapture.html 23922
FTP 04/29/2006 08:46:26 69.203.203.58               /pub/erique/www/rapture/uto-look.gif 3823
FTP 04/29/2006 08:46:32 69.203.203.58               /pub/erique/www/travel/alaska/alaskavancouver.html 4572
FTP 04/29/2006 08:46:38 69.203.203.58               /pub/erique/www/welcome.html 276
FTP 04/29/2006 08:46:45 69.203.203.58               /pub/erique/www/writing/fancy.html 4720
FTP 04/29/2006 08:46:52 69.203.203.58               /pub/erique/www/writing/sept11.html 17233
